t,rpm,speed_mph,coolant_c,accel_g,distance_miles,fuel_rate_gph,maf_gps,instant_mpg
0.0,675.0,1.864,88.0,0.0,0.088526,0.0,0.0,0.0
1.0,675.0,1.864,88.0,0.0,0.088526,0.0,0.0,0.0
2.0,675.0,1.864,88.0,0.0,0.088526,0.0,0.0,0.0
3.0,675.0,1.864,88.0,0.0,0.088526,0.0,0.0,0.0
4.0,675.0,1.864,88.0,0.0,0.088526,0.0,0.0,0.0
5.0,675.0,11.185,88.0,0.0125,0.089488,0.221714,2.51,49.299
6.0,675.0,11.185,88.0,0.0,0.092516,0.219812,2.48,50.872
7.0,675.0,10.563,88.0,-0.1686,0.095673,0.225144,2.54,46.008
8.0,675.0,10.563,88.0,0.0,0.096587,0.228934,2.59,45.588
9.0,675.0,10.563,88.0,0.0,0.096587,0.228934,2.59,45.588
10.0,675.0,10.563,88.0,0.0,0.096587,0.228934,2.59,45.588
11.0,675.0,10.563,88.0,0.0,0.096587,0.228934,2.59,45.588
12.0,675.0,10.563,88.0,0.0,0.096587,0.228934,2.59,45.588
13.0,675.0,10.563,88.0,0.0,0.096587,0.228934,2.59,45.588
14.0,675.0,10.563,88.0,0.0,0.096587,0.228934,2.59,45.588
15.0,675.0,10.563,88.0,0.0,0.096587,0.228934,2.59,45.588
16.0,675.0,10.563,88.0,0.0,0.096587,0.228934,2.59,45.588
17.0,675.0,10.563,88.0,0.0,0.096587,0.228934,2.59,45.588
18.0,675.0,10.563,88.0,0.0,0.096587,0.228934,2.59,45.588
19.0,675.0,10.563,88.0,0.0,0.096587,0.228934,2.59,45.588
20.0,675.0,10.563,88.0,0.0,0.096587,0.228934,2.59,45.588
21.0,675.0,10.563,88.0,0.0,0.096587,0.228934,2.59,45.588
22.0,675.0,10.563,88.0,0.0,0.096587,0.228934,2.59,45.588
23.0,675.0,10.563,88.0,0.0,0.096587,0.228934,2.59,45.588
24.0,675.0,10.563,88.0,0.0,0.096587,0.228934,2.59,45.588
